# ms,joy_x,joy_y,joy_x_step,joy_y_step,pot_data
3347,1926,1896,-1,-2,0
3430,1930,1899,-1,-2,0
3513,1927,1901,-1,-2,0
3596,1926,1900,-1,-2,0
3679,1926,1882,-1,-2,0
3762,1926,1894,-1,-2,0
3845,1926,1914,-1,-1,0
3928,1926,1906,-1,-2,0
4011,1926,1902,-1,-2,0
4094,1928,1895,-1,-2,0
4177,1928,1895,-1,-2,0
4260,1917,1895,-1,-2,0
4343,1918,1909,-1,-2,0
4426,1923,1919,-1,-1,0
4509,1924,1908,-1,-2,0
4592,1926,1906,-1,-2,0
4675,1928,1899,-1,-2,0
4758,1923,1897,-1,-2,0
4841,1926,1899,-1,-2,0
4924,1928,1885,-1,-2,0
5007,1925,1893,-1,-2,0
5090,1919,1886,-1,-2,0
5173,1925,1892,-1,-2,0
5256,1926,1895,-1,-2,0
5339,1944,1896,-1,-2,0
5422,1934,1896,-1,-2,0
5505,1932,1896,-1,-2,0
5588,1932,1896,-1,-2,0
5671,1932,1896,-1,-2,0
5754,1929,1896,-1,-2,0
5837,1927,1896,-1,-2,0
5920,1926,1898,-1,-2,0
6003,1926,1898,-1,-2,0
6086,1926,1895,-1,-2,0
6169,1926,1895,-1,-2,0
6252,1927,1895,-1,-2,0
6335,1927,1895,-1,-2,0
6418,1928,1895,-1,-2,0
6501,1929,1895,-1,-2,0
6584,1923,1895,-1,-2,0
6667,1926,1896,-1,-2,0
6750,1928,1896,-1,-2,0
6833,1927,1896,-1,-2,0
6916,1925,1896,-1,-2,0
6999,1925,1896,-1,-2,0
7082,1925,1896,-1,-2,0
7165,1933,1889,-1,-2,0
7248,1928,1893,-1,-2,0
7331,1925,1875,-1,-2,0
7414,1925,1885,-1,-2,0
7497,1924,1893,-1,-2,0
7580,1924,1895,-1,-2,0
7663,1926,1896,-1,-2,0
7746,1938,1896,-1,-2,0
7829,1931,1915,-1,-1,0
7912,1931,1908,-1,-2,0
7995,1927,1875,-1,-2,0
8078,1927,1891,-1,-2,0
8161,1927,1892,-1,-2,0
8244,1920,1895,-1,-2,0
8327,1923,1895,-1,-2,0
8410,1925,1896,-1,-2,0
8493,1927,1894,-1,-2,0
8576,1927,1903,-1,-2,0
8659,1927,1898,-1,-2,0
8742,1927,1898,-1,-2,0
8825,1927,1884,-1,-2,0
8908,1927,1893,-1,-2,0
8991,1928,1893,-1,-2,0
9074,1928,1893,-1,-2,0
9157,1928,1894,-1,-2,0
9240,1928,1894,-1,-2,0
9323,1928,1885,-1,-2,0
9406,1925,1904,-1,-2,0
9489,1925,1905,-1,-2,0
9572,1925,1902,-1,-2,0
9655,1925,1901,-1,-2,0
9738,1925,1878,-1,-2,0
9821,1928,1884,-1,-2,0
9904,1928,1896,-1,-2,0
9987,1922,1896,-1,-2,0
10070,1926,1897,-1,-2,0
10153,1926,1889,-1,-2,0
10236,1925,1889,-1,-2,0
10319,1918,1895,-1,-2,0
10402,1922,1897,-1,-2,0
10485,1927,1889,-1,-2,0
10568,1927,1893,-1,-2,0
10651,1927,1878,-1,-2,0
10734,1929,1891,-1,-2,0
10817,1969,1895,-1,-2,0
10900,1930,1895,-1,-2,0
10983,1926,1895,-1,-2,0
11066,1926,1894,-1,-2,0
11149,1926,1894,-1,-2,0
11232,1927,1894,-1,-2,0
11315,1927,1916,-1,-1,0
11398,1933,1905,-1,-2,0
11481,1933,1904,-1,-2,0
11564,1942,1899,-1,-2,0
11647,1936,1899,-1,-2,0
11730,1931,1887,-1,-2,0
11813,1938,1892,-1,-2,0
11896,1930,1889,-1,-2,0
11979,1929,1893,-1,-2,0
12062,1917,1894,-1,-2,0
12145,1923,1900,-1,-2,0
12228,1923,1887,-1,-2,0
12311,1923,1884,-1,-2,0
12394,1923,1896,-1,-2,0
12477,1929,1892,-1,-2,0
12560,1932,1898,-1,-2,0
12643,1927,1898,-1,-2,0
12726,1927,1898,-1,-2,0
12809,1927,1898,-1,-2,0
12892,1921,1904,-1,-2,0
12975,1925,1901,-1,-2,0
13058,1930,1900,-1,-2,0
13141,1931,1895,-1,-2,0
13224,1931,1895,-1,-2,0
13307,1928,1899,-1,-2,0
13390,1940,1899,-1,-2,0
13473,1932,1951,-1,-1,0
13556,1932,1906,-1,-2,0
13639,1931,1901,-1,-2,0
13722,1904,1857,-2,-2,0
13805,1926,1890,-1,-2,0
13888,1934,1893,-1,-2,0
13971,1929,1896,-1,-2,0
14054,1928,1888,-1,-2,0
14137,1928,1894,-1,-2,0
14220,1931,1914,-1,-1,0
14303,1915,1897,-1,-2,0
14386,1919,1897,-1,-2,0
14469,1922,1897,-1,-2,0
14552,1927,1897,-1,-2,0
14635,1927,1887,-1,-2,0
14718,1927,1893,-1,-2,0
14801,1910,1894,-2,-2,0
14884,1914,1894,-1,-2,0
14967,1940,1904,-1,-2,0
15050,1934,1903,-1,-2,0
15133,1927,1898,-1,-2,0
15216,1926,1898,-1,-2,0
15299,1926,1898,-1,-2,0
15382,1918,1898,-1,-2,0
15465,1943,1898,-1,-2,0
15548,1937,1911,-1,-1,0
15631,1933,1902,-1,-2,0
15714,1933,1900,-1,-2,0
15797,1927,1889,-1,-2,0
15880,1925,1891,-1,-2,0
15963,1927,1892,-1,-2,0
16046,1928,1895,-1,-2,0
16129,1907,1895,-2,-2,0
16212,1916,1893,-1,-2,0
16295,1920,1893,-1,-2,0
16378,1918,1895,-1,-2,0
16461,1922,1896,-1,-2,0
16544,1913,1896,-1,-2,0
16627,1923,1896,-1,-2,0
16710,1924,1891,-1,-2,0
16793,1925,1891,-1,-2,0
16876,1927,1894,-1,-2,0
16959,1927,1894,-1,-2,0
17042,1931,1894,-1,-2,0
17125,1886,1894,-2,-2,0
17208,1918,1897,-1,-2,0
17291,1922,1887,-1,-2,0
17374,1923,1890,-1,-2,0
17457,1923,1892,-1,-2,0
17540,1923,1893,-1,-2,0
17623,1925,1895,-1,-2,0
17706,1925,1896,-1,-2,0
17789,1955,1896,-1,-2,0
17872,1933,1891,-1,-2,0
17955,1924,1911,-1,-1,0
18038,1923,1891,-1,-2,0
18121,1923,1892,-1,-2,0
18204,1920,1896,-1,-2,0
18287,1927,1897,-1,-2,0
18370,1927,1897,-1,-2,0
18453,1927,1894,-1,-2,0
18536,1927,1894,-1,-2,0
18619,1927,1896,-1,-2,0
18702,1902,1888,-2,-2,0
18785,1922,1896,-1,-2,0
18868,1917,1893,-1,-2,0
18951,1922,1894,-1,-2,0
19034,1923,1889,-1,-2,0
19117,1923,1913,-1,-1,0
19200,1925,1901,-1,-2,0
19283,1925,1900,-1,-2,3002
19366,1921,1899,-1,-2,0
19449,1923,1899,-1,-2,0
19532,1925,1909,-1,-2,0
19615,1925,1902,-1,-2,0
19698,1924,1902,-1,-2,0
19781,1924,1902,-1,-2,0
19864,1924,1895,-1,-2,0
19947,1925,1895,-1,-2,0
20030,1925,1895,-1,-2,0
20113,1920,1895,-1,-2,0
20196,1920,1894,-1,-2,0
20279,1921,1894,-1,-2,0
