--- Terminal on /dev/ttyUSB0 | 115200 8-N-1
--- Available filters and text transformations: debug, default, direct, esp32_exception_decoder, hexlify, log2file, nocontrol, printable, send_on_enter, time
--- More details at https://bit.ly/pio-monitor-filters
--- Quit: Ctrl+C | Menu: Ctrl+T | Help: Ctrl+T followed by Ctrl+H
Macroboard V1: Advertising Started...
# Sensor debug mode enabled
# CSV columns:
# ms,joy_x_raw,joy_y_raw,joy_x_centered,joy_y_centered,joy_x_step,joy_y_step,pot_raw,pot_pct
875,1915,1899,-121,-156,-1,-2,4095,99
958,1933,1875,-117,-160,-1,-2,4095,99
1041,1939,1898,-117,-155,-1,-2,4095,99
1124,1930,1895,-124,-145,-1,-2,4095,99
1207,1933,1883,-121,-152,-1,-2,4095,99
1291,1884,1887,-147,-154,-2,-2,4095,99
1374,1929,1883,-129,-148,-1,-2,4095,99
1457,1926,1889,-125,-153,-1,-2,4095,99
1540,1945,1879,-115,-158,-1,-2,4095,99
1623,1929,1903,-116,-155,-1,-2,4095,99
1706,1929,1902,-120,-153,-1,-2,4095,99
1789,1934,1902,-126,-152,-1,-2,4095,99
1872,1920,1889,-123,-158,-1,-2,4095,99
1955,1936,1898,-111,-152,-1,-2,4095,99
2038,1927,1899,-120,-152,-1,-2,4095,99
2121,1939,1897,-124,-149,-1,-2,4095,99
2204,1930,1901,-116,-157,-1,-2,4095,99
2287,1927,1899,-117,-161,-1,-2,4095,99
2370,1906,1898,-127,-167,-1,-2,4095,99
2453,1934,1894,-124,-159,-1,-2,4095,99
2536,1937,1852,-121,-179,-1,-2,4095,99
2619,1927,1890,-121,-162,-1,-2,4095,99
2702,1910,1892,-126,-158,-1,-2,4095,99
2785,1927,1901,-126,-157,-1,-2,4095,99
2868,1915,1899,-134,-155,-1,-2,4095,99
2951,1935,1902,-121,-162,-1,-2,4095,99
3034,1943,1898,-106,-151,-1,-2,4095,99
3117,1936,1905,-107,-151,-1,-2,4095,99
3200,1934,1904,-116,-140,-1,-2,4095,99
3283,1935,1899,-117,-131,-1,-1,4095,99
3366,1926,1899,-119,-142,-1,-2,4095,99
3449,1931,1894,-111,-148,-1,-2,4095,99
3532,1919,1900,-118,-148,-1,-2,4095,99
3615,1929,1895,-118,-150,-1,-2,4095,99
3698,1936,1900,-121,-152,-1,-2,4095,99
3781,1931,1904,-123,-152,-1,-2,4095,99
3864,1927,1906,-123,-153,-1,-2,4095,99
3947,1932,1899,-123,-153,-1,-2,4095,99
4030,1931,1897,-123,-153,-1,-2,4095,99
4113,1925,1899,-128,-151,-1,-2,4095,99
4196,1927,1895,-125,-151,-1,-2,4095,99
4279,1929,1898,-110,-151,-1,-2,4095,99
4362,1925,1891,-137,-148,-1,-2,4095,99
4445,1937,1893,-122,-149,-1,-2,4095,99
4528,1922,1900,-122,-151,-1,-2,4095,99
4611,1929,1904,-123,-154,-1,-2,4095,99
4694,1931,1894,-121,-153,-1,-2,4095,99
4777,1921,1899,-121,-153,-1,-2,4095,99
4860,1936,1899,-122,-153,-1,-2,4095,99
4943,1919,1892,-126,-153,-1,-2,4095,99
5026,1931,1902,-139,-152,-2,-2,4095,99
5109,1964,1901,-102,-152,-1,-2,4095,99
